tag,mapping,alignment_class,step,phase,aic_query_path,op_name,latency_ms,per_layer_latency_ms,step_count,weighted_latency_ms,energy_wms,source,query_batch_size,query_s,query_prefix,query_error,steps_to_finish_ctx,mix_ctx_tokens,mix_gen_tokens,genonly_tokens,mix_first_pass_batch_size,mix_first_pass_isl,mix_first_pass_prefix,mix_context_second_pass_batch_size,mix_context_second_pass_isl,mix_context_second_pass_prefix,generation_lookup_s
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_q_b_proj_gemm,1.9156124395589842,0.31926873992649735,2.0,3.8312248791179684,0.0,silicon,1.0,5123.0,0.0,,2,5120,3,8,1,5123,0,5,1024,0,1033
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_kv_b_proj_gemm,1.1416806212649786,0.1902801035441631,2.0,2.283361242529957,0.0,silicon,1.0,5123.0,0.0,,2,5120,3,8,1,5123,0,5,1024,0,1033
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_mla_concat_k,0.8917728219414129,0.14862880365690215,2.0,1.7835456438828259,0.0,silicon,1.0,5123.0,0.0,,2,5120,3,8,1,5123,0,5,1024,0,1033
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_proj_gemm,5.788026142940138,0.9646710238233563,2.0,11.576052285880277,0.0,silicon,1.0,5123.0,0.0,,2,5120,3,8,1,5123,0,5,1024,0,1033
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops_attention_second_pass,context_attention,3.813086643248475,0.6355144405414125,2.0,7.62617328649695,0.0,silicon,5.0,1024.0,0.0,,2,5120,3,8,1,5123,0,5,1024,0,1033
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,observed_first_batch,prefix_probe,mix_step,context,run_agg_snapshot_block,context_mla_block,46.39675347162468,7.73279224527078,2.0,92.79350694324935,0.0,persisted_run_agg_csv,,,,,2,8960,1,8,1,8961,0,7,1280,0,1289
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_downscale_gemm,1.5968904938475381,0.26614841564125635,2.0,3.1937809876950762,0.0,silicon,1.0,8961.0,0.0,,2,8960,1,8,1,8961,0,7,1280,0,1289
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_q_b_proj_gemm,3.200028642213119,0.5333381070355198,2.0,6.400057284426238,0.0,silicon,1.0,8961.0,0.0,,2,8960,1,8,1,8961,0,7,1280,0,1289
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_kv_b_proj_gemm,2.0227811508863374,0.3371301918143896,2.0,4.045562301772675,0.0,silicon,1.0,8961.0,0.0,,2,8960,1,8,1,8961,0,7,1280,0,1289
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_mla_concat_k,1.544093391322531,0.25734889855375515,2.0,3.088186782645062,0.0,silicon,1.0,8961.0,0.0,,2,8960,1,8,1,8961,0,7,1280,0,1289
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_proj_gemm,10.082685875939205,1.6804476459898676,2.0,20.16537175187841,0.0,silicon,1.0,8961.0,0.0,,2,8960,1,8,1,8961,0,7,1280,0,1289
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops_attention_second_pass,context_attention,7.55138897748501,1.258564829580835,2.0,15.10277795497002,0.0,silicon,7.0,1280.0,0.0,,2,8960,1,8,1,8961,0,7,1280,0,1289
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,observed_first_batch,prefix_probe,mix_step,context,run_agg_snapshot_block,context_mla_block,39.20868953677592,6.5347815894626535,2.0,78.41737907355184,0.0,persisted_run_agg_csv,,,,,2,8192,1,3,1,8193,0,2,4096,0,4105
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_downscale_gemm,1.4739991310674014,0.24566652184456692,2.0,2.947998262134803,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,3,1,8193,0,2,4096,0,4105
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_q_b_proj_gemm,2.9299269231702842,0.48832115386171404,2.0,5.8598538463405685,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,3,1,8193,0,2,4096,0,4105
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_kv_b_proj_gemm,1.861438869695549,0.31023981161592484,2.0,3.722877739391098,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,3,1,8193,0,2,4096,0,4105
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_mla_concat_k,1.413683369779028,0.23561389496317134,2.0,2.827366739558056,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,3,1,8193,0,2,4096,0,4105
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_proj_gemm,9.132011401699856,1.5220019002833094,2.0,18.264022803399712,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,3,1,8193,0,2,4096,0,4105
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops_attention_second_pass,context_attention,12.72263946533203,2.120439910888672,2.0,25.44527893066406,0.0,silicon,2.0,4096.0,0.0,,2,8192,1,3,1,8193,0,2,4096,0,4105
