framework,version,device,op_name,kernel_source,model,task,attn_kind,backend,requested_backend,batch_size,q_seq_len,kv_seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,43120,512,10,128,2,2,ulysses,0.19196159839630128
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,43120,257,10,128,2,2,ulysses,0.14397120475769043
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,21560,512,20,128,2,2,ring,0.19182080030441284
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,21560,257,20,128,2,2,ring,0.14169280529022216
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,43120,512,5,128,2,4,ulysses,0.0998304009437561
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,43120,257,5,128,2,4,ulysses,0.07599040269851684
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,10780,512,20,128,2,4,ring,0.10002239942550659
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,10780,257,20,128,2,4,ring,0.07792959809303283
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,self_attn,fa,auto,1,5390,5390,20,128,2,8,ring,0.41822400093078616
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,5390,512,20,128,2,8,ring,0.057494401931762695
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,5390,257,20,128,2,8,ring,0.046105599403381346
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,43120,512,10,128,4,1,none,0.19223040342330933
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,43120,257,10,128,4,1,none,0.14402559995651246
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,43120,512,5,128,4,2,ulysses,0.09994239807128906
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,43120,257,5,128,4,2,ulysses,0.07544320225715637
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,21560,512,10,128,4,2,ring,0.09993600249290466
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,21560,257,10,128,4,2,ring,0.07806400060653687
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,self_attn,fa,auto,1,10780,10780,10,128,4,4,ring,0.8242752075195312
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,10780,512,10,128,4,4,ring,0.05744640231132507
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,10780,257,10,128,4,4,ring,0.04737600088119507
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,self_attn,fa,auto,1,5390,5390,10,128,4,8,ring,0.24271678924560547
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,5390,512,10,128,4,8,ring,0.03461759984493255
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,5390,257,10,128,4,8,ring,0.028652799129486085
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,43120,512,5,128,8,1,none,0.09981759786605834
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,43120,257,5,128,8,1,none,0.07549440264701843
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,21560,512,5,128,8,2,ring,0.05772799849510193
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,21560,257,5,128,8,2,ring,0.04535999894142151
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,self_attn,fa,auto,1,10780,10780,5,128,8,4,ring,0.47231040000915525
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,10780,512,5,128,8,4,ring,0.03472320139408112
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,10780,257,5,128,8,4,ring,0.028217598795890808
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,self_attn,fa,auto,1,5390,5390,5,128,8,8,ring,0.12190079689025879
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,5390,512,5,128,8,8,ring,0.021059200167655945
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,5390,257,5,128,8,8,ring,0.017737600207328796
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,106480,512,5,128,1,8,ulysses,0.23606400489807128
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,13310,512,40,128,1,8,ring,0.23596160411834716
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,106480,512,5,128,2,4,ulysses,0.23606719970703124
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,26620,512,20,128,2,4,ring,0.2358975887298584
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,13310,512,20,128,2,8,ring,0.12316479682922363
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,106480,512,5,128,4,2,ulysses,0.2362368106842041
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-T2V-A14B,t2v,cross_attn_text,fa,auto,1,53240,512,10,128,4,2,ring,0.2359328031539917
