framework,version,device,op_name,kernel_source,batch_size,seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,7898,20,128,2,4,ring,0.06258879899978638
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,3949,20,128,2,8,ring,0.03258239924907684
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,10,128,4,1,none,0.12365119457244873
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,5,128,4,2,ulysses,0.06657919883728028
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,15795,10,128,4,2,ring,0.0643775999546051
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,7898,10,128,4,4,ring,0.03310079872608185
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,3949,10,128,4,8,ring,0.012518399953842163
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,5,128,8,1,none,0.06650239825248719
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,15795,5,128,8,2,ring,0.03499839901924133
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,7898,5,128,8,4,ring,0.012886400520801543
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,3949,5,128,8,8,ring,0.008934400230646133
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,40,128,1,1,none,0.3044831991195679
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,20,128,1,2,ulysses,0.1566848039627075
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,9555,40,128,1,2,ring,0.14438400268554688
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,10,128,1,4,ulysses,0.08209279775619507
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,4778,40,128,1,4,ring,0.07398399710655212
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,5,128,1,8,ulysses,0.04440320134162903
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,2389,40,128,1,8,ring,0.039647999405860904
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,20,128,2,1,none,0.156496000289917
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,10,128,2,2,ulysses,0.08161600232124329
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,9555,20,128,2,2,ring,0.0743615984916687
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,5,128,2,4,ulysses,0.04456959962844849
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,4778,20,128,2,4,ring,0.03976959884166718
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,2389,20,128,2,8,ring,0.01404159963130951
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,10,128,4,1,none,0.08167359828948975
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,5,128,4,2,ulysses,0.04445120096206665
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,9555,10,128,4,2,ring,0.03970879912376404
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,4778,10,128,4,4,ring,0.014316800236701965
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,2389,10,128,4,8,ring,0.009590400010347366
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,5,128,8,1,none,0.04427840113639832
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,9555,5,128,8,2,ring,0.0160288006067276
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,4778,5,128,8,4,ring,0.00979200005531311
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,2389,5,128,8,8,ring,0.007295999675989151
