model_key,system,case_id,series,model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,336,12.111,1,8,1,14,112,3,855.277,24.953,26382.196,12.111,0.378,12401.541,387.548,40.076,16.837,4.388,32,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,105.948,sglang,0.5.10,b200_sxm,0.0,387.548
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,312,11.305,1,8,1,13,104,3,855.277,24.82,26246.137,11.305,0.353,11576.279,361.759,40.29,16.837,4.096,32,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,2,4,tp1pp1dp8etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,105.613,sglang,0.5.10,b200_sxm,0.0,361.759
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,264,9.58,1,8,1,11,88,3,855.277,24.785,26210.332,9.58,0.299,9809.879,306.559,40.347,16.837,3.471,32,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,8,1,tp1pp1dp8etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,104.943,sglang,0.5.10,b200_sxm,0.0,306.559
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,49,2.248,1,1,1,7,7,7,328.153,19.587,20365.654,2.248,0.07,2301.501,71.922,51.054,5.485,0.349,32,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.911,sglang,0.5.10,b200_sxm,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.55,sglang,0.5.10,b200_sxm,0.0,71.922
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,42,2.145,1,1,1,6,6,7,328.153,17.625,18358.528,2.145,0.067,2195.988,68.625,56.737,5.485,0.333,32,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.911,sglang,0.5.10,b200_sxm,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.214,sglang,0.5.10,b200_sxm,0.0,68.625
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,35,2.009,1,1,1,5,5,7,328.153,15.663,16351.402,2.009,0.063,2057.503,64.297,63.844,5.485,0.312,32,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.911,sglang,0.5.10,b200_sxm,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,172.879,sglang,0.5.10,b200_sxm,0.0,64.297
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,28,1.835,1,1,1,4,4,7,328.153,13.701,14344.276,1.835,0.057,1879.45,58.733,72.986,5.485,0.285,32,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.911,sglang,0.5.10,b200_sxm,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,172.544,sglang,0.5.10,b200_sxm,0.0,58.733
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,21,1.61,1,1,1,3,3,7,328.153,11.739,12337.15,1.61,0.05,1648.64,51.52,85.185,5.485,0.25,32,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.911,sglang,0.5.10,b200_sxm,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,172.209,sglang,0.5.10,b200_sxm,0.0,51.52
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,14,1.288,1,1,1,2,2,7,328.153,9.792,10345.369,1.288,0.04,1318.912,41.216,102.127,5.485,0.2,32,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.911,sglang,0.5.10,b200_sxm,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,171.874,sglang,0.5.10,b200_sxm,0.0,41.216
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,12,1.112,1,1,1,4,4,3,216.346,9.713,10152.745,1.112,0.035,1138.975,35.593,102.958,8.32,0.403,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b200_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.732,sglang,0.5.10,b200_sxm,0.0,35.593
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,9,0.933,1,1,1,3,3,3,216.346,8.682,9098.032,0.933,0.029,955.269,29.852,115.183,8.32,0.338,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b200_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,b200_sxm,0.0,29.852
