model_key,system,case_id,series,model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
llama31_70b,b300_sxm,llama31_70b__b300_sxm__analytical__high,ANALYTICAL-high,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,248,2.524,1,1,1,248,248,1,565.996,88.342,90939.862,2.524,0.631,2585.068,646.267,11.32,3.18,2.744,4,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,264.092,sglang,0.5.10,b300_sxm,0.0,646.267
llama31_70b,b300_sxm,llama31_70b__b300_sxm__analytical__low,ANALYTICAL-low,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,248,4.238,1,1,1,248,248,1,382.223,52.189,53771.57,4.238,1.06,4339.814,1084.954,19.161,4.709,4.645,4,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,264.092,sglang,0.5.10,b300_sxm,0.0,1084.954
llama31_70b,b300_sxm,llama31_70b__b300_sxm__analytical__standard,ANALYTICAL-standard,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,248,3.444,1,1,1,248,248,1,438.419,64.769,66697.106,3.444,0.861,3526.205,881.551,15.44,4.106,3.743,4,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,264.092,sglang,0.5.10,b300_sxm,0.0,881.551
llama31_70b,b300_sxm,llama31_70b__b300_sxm__silicon,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,1736,29.598,1,1,9,248,248,7,440.928,52.749,54403.155,29.598,0.925,30308.598,947.144,18.958,4.082,4.596,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,264.092,sglang,0.5.10,b300_sxm,0.0,947.144
llama31_70b,h100_sxm,llama31_70b__h100_sxm__analytical__high,ANALYTICAL-high,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,240,3.836,1,1,1,240,240,1,422.314,54.362,56034.64,3.836,0.24,3927.859,245.491,18.395,4.262,4.316,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,67.986,sglang,0.5.10,h100_sxm,0.0,245.491
llama31_70b,h100_sxm,llama31_70b__h100_sxm__analytical__low,ANALYTICAL-low,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,280,9.998,1,1,3,56,56,5,486.128,24.657,25710.239,9.998,0.312,10238.054,319.939,40.556,3.703,2.22,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,59.412,sglang,0.5.10,h100_sxm,0.0,319.939
llama31_70b,h100_sxm,llama31_70b__h100_sxm__analytical__standard,ANALYTICAL-standard,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,108,2.276,1,1,1,108,108,1,539.588,42.673,44194.067,2.276,0.285,2330.706,291.338,23.434,3.336,2.474,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,79.725,sglang,0.5.10,h100_sxm,0.0,291.338
llama31_70b,h100_sxm,llama31_70b__h100_sxm__silicon,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,144,4.836,1,1,1,144,144,1,334.998,24.642,25543.764,4.836,0.302,4951.757,309.485,40.58,5.373,5.712,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,49.236,sglang,0.5.10,h100_sxm,0.0,309.485
llama31_70b,h200_sxm,llama31_70b__h200_sxm__analytical__high,ANALYTICAL-high,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,168,2.57,1,1,1,168,168,1,630.311,58.06,60025.691,2.57,0.321,2632.09,329.011,17.224,2.856,2.829,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,103.162,sglang,0.5.10,h200_sxm,0.0,329.011
llama31_70b,h200_sxm,llama31_70b__h200_sxm__analytical__low,ANALYTICAL-low,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,684,14.862,1,1,7,76,76,9,763.166,39.837,41516.417,14.862,0.464,15218.381,475.574,25.102,2.359,1.865,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,129.717,sglang,0.5.10,h200_sxm,0.0,475.574
