framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,9555,2560,5120,0.33811110920376247
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,31590,5120,2560,0.8360782199435763
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,7898,5120,1280,0.28212179077996147
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,10780,5120,6912,2.093700408935547
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,53240,13824,5120,14.976294623480904
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,23595,13824,5120,3.2257181803385415
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,512,640,5120,0.01351288871632682
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,26620,5120,5120,2.1403369903564453
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,21560,5120,1280,0.5170177883572048
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,71280,13824,5120,9.501549614800348
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,11798,5120,5120,0.6166391372680664
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,11798,13824,5120,2.166522767808702
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,21560,640,5120,0.2017644378874037
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,9555,5120,1280,0.12192622820536296
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,21560,13824,5120,4.195346832275391
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,15795,5120,6912,1.037787543402778
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,47190,1280,5120,0.764110247294108
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,1,5120,5120,0.01627111103799608
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,17820,6912,5120,1.1441422568427193
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,4778,13824,5120,0.5953804651896158
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,21560,13824,5120,2.605407926771376
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,17820,3456,5120,0.7228142420450846
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,15795,5120,13824,2.2072569529215493
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,10780,6912,5120,0.696848021613227
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,21560,2560,5120,0.714555581410726
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,257,5120,6912,0.03973955578274197
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,11798,5120,3456,0.5195262167188857
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,21560,1728,5120,0.715735117594401
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,21560,5120,13824,3.9850756327311196
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,21560,6912,5120,2.5061795976426864
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,15795,2560,5120,0.5442959997389052
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,53240,5120,3456,1.8708843655056422
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,35640,640,5120,0.3028035428788927
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,53240,3456,5120,1.8647022247314453
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,106480,3456,5120,3.8377732170952688
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,15795,5120,3456,0.7227644390530057
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,7898,3456,5120,0.40459820959303117
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,7898,5120,5120,0.5656471252441406
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,43120,1728,5120,1.0811146630181205
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,23595,5120,640,0.2684897846645779
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,5899,5120,6912,0.594846248626709
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,3949,5120,13824,0.5447297626071507
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,512,1280,4096,0.018988443745507132
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,5899,5120,5120,0.29593777656555176
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,71280,5120,1280,1.3261973063151042
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,13310,5120,3456,0.49979644351535374
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,7898,5120,13824,1.1231457392374675
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,8910,5120,640,0.08847288952933417
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,17820,5120,6912,1.2140355639987521
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,8910,5120,5120,0.45751110712687176
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,11798,5120,640,0.11518577734629314
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,71280,5120,13824,10.057993570963541
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,3949,5120,2560,0.14611021677652994
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,23595,5120,3456,1.3252710766262479
