framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency,ops,mem_bytes,intensity_op,intensity_hw,rel_ratio,sol_math,sol_mem,mfu,mbu
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,128,1,0,0.0573333352804183,5368709120,167772160,32.0,312.5,0.1024,0.002147483648,0.02097152,0.03745610886749605,0.3657823131591411
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,256,1,0,0.1613173286120096,21474836480,251658240,85.33333333333333,312.5,0.2730666666666666,0.008589934592,0.03145728,0.05324867865038837,0.19500248529194958
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,256,1,0,0.1616106629371643,21474836480,251658240,85.33333333333333,312.5,0.2730666666666666,0.008589934592,0.03145728,0.053152028683527176,0.19464854254221378
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,256,1,0,0.0990666647752126,21474836480,335544320,64.0,312.5,0.2048,0.008589934592,0.04194304,0.08670862808888345,0.4233819730902512
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,256,1,0,0.0994826654593149,21474836480,335544320,64.0,312.5,0.2048,0.008589934592,0.04194304,0.08634604382924377,0.42161154213497937
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,512,1,0,0.3210879961649577,85899345920,503316480,170.66666666666666,312.5,0.5461333333333332,0.034359738368,0.06291456,0.10701034849757453,0.1959418002274924
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,512,1,0,0.3250773350397746,85899345920,503316480,170.66666666666666,312.5,0.5461333333333332,0.034359738368,0.06291456,0.10569712085216873,0.19353720859161752
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,512,1,0,0.2086079915364583,85899345920,671088640,128.0,312.5,0.4096,0.034359738368,0.08388608,0.164709597724088,0.40212304131857424
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,512,1,0,0.2095253268877665,85899345920,671088640,128.0,312.5,0.4096,0.034359738368,0.08388608,0.1639884727940551,0.4003624824073611
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,1024,1,0,0.7029973665873209,343597383680,1006632960,341.3333333333333,312.5,1.0922666666666665,0.137438953472,0.12582912,0.19550422235462014,0.17898946138423474
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,1024,1,0,0.709712028503418,343597383680,1006632960,341.3333333333333,312.5,1.0922666666666665,0.137438953472,0.12582912,0.19365453585705725,0.17729602281835075
