hardware,hardware_label,engine,version,operator,phase,compute_tag,kv_cache_dtype,kernel_source,rows
h200_sxm,H200 SXM,sglang,0.5.10,attention,prefill,bfloat16,bfloat16,flash_attention,5627
h200_sxm,H200 SXM,sglang,0.5.10,attention,prefill,bfloat16,fp8,flash_attention,5627
h200_sxm,H200 SXM,sglang,0.5.10,attention,prefill,fp8,fp8,flash_attention,5627
h200_sxm,H200 SXM,sglang,0.5.10,attention,decode,bfloat16,bfloat16,flash_attention,5093
h200_sxm,H200 SXM,sglang,0.5.10,attention,decode,bfloat16,fp8,flash_attention,5093
h200_sxm,H200 SXM,sglang,0.5.10,mla,prefill,bfloat16,bfloat16,flash_attention,1540
h200_sxm,H200 SXM,sglang,0.5.10,mla,prefill,bfloat16,fp8,flash_attention,1540
h200_sxm,H200 SXM,sglang,0.5.10,mla,decode,bfloat16,bfloat16,flash_attention,2324
h200_sxm,H200 SXM,sglang,0.5.10,mla,decode,bfloat16,fp8,flash_attention,2324
h200_sxm,H200 SXM,trtllm,1.3.0rc10,attention,prefill,bfloat16,bfloat16,torch_flow,16848
h200_sxm,H200 SXM,trtllm,1.3.0rc10,attention,prefill,bfloat16,fp8,torch_flow,16845
h200_sxm,H200 SXM,trtllm,1.3.0rc10,attention,prefill,fp8,fp8,torch_flow,16881
h200_sxm,H200 SXM,trtllm,1.3.0rc10,attention,decode,bfloat16,bfloat16,torch_flow,15057
h200_sxm,H200 SXM,trtllm,1.3.0rc10,attention,decode,bfloat16,fp8,torch_flow,9381
h200_sxm,H200 SXM,trtllm,1.3.0rc10,mla,prefill,bfloat16,bfloat16,default,880
h200_sxm,H200 SXM,trtllm,1.3.0rc10,mla,prefill,bfloat16,fp8,default,880
h200_sxm,H200 SXM,trtllm,1.3.0rc10,mla,decode,bfloat16,bfloat16,default,1448
h200_sxm,H200 SXM,trtllm,1.3.0rc10,mla,decode,bfloat16,fp8,default,1448
h200_sxm,H200 SXM,vllm,0.19.0,attention,prefill,bfloat16,bfloat16,vllm_flash_attn,24974
h200_sxm,H200 SXM,vllm,0.19.0,attention,prefill,bfloat16,fp8,vllm_flash_attn,24978
h200_sxm,H200 SXM,vllm,0.19.0,attention,decode,bfloat16,bfloat16,vllm_flash_attn,27175
