hardware,hardware_label,engine,version,operator,phase,rows,dtype_combinations,kernel_sources,source_file
b300_sxm,B300 SXM,sglang,0.5.10,mla,prefill,3080,bfloat16/bfloat16:1540; bfloat16/fp8:1540,trtllm_mla:3080,src/aiconfigurator/systems/data/b300_sxm/sglang/0.5.10/context_mla_perf.txt
b300_sxm,B300 SXM,sglang,0.5.10,mla,decode,4648,bfloat16/bfloat16:2324; bfloat16/fp8:2324,trtllm_mla:4648,src/aiconfigurator/systems/data/b300_sxm/sglang/0.5.10/generation_mla_perf.txt
b300_sxm,B300 SXM,trtllm,1.3.0rc10,attention,prefill,63133,bfloat16/bfloat16:21064; bfloat16/fp8:21064; fp8/fp8:21005,torch_flow:63133,src/aiconfigurator/systems/data/b300_sxm/trtllm/1.3.0rc10/context_attention_perf.txt
b300_sxm,B300 SXM,trtllm,1.3.0rc10,attention,decode,40240,bfloat16/bfloat16:20120; bfloat16/fp8:20120,torch_flow:40240,src/aiconfigurator/systems/data/b300_sxm/trtllm/1.3.0rc10/generation_attention_perf.txt
b300_sxm,B300 SXM,trtllm,1.3.0rc10,mla,prefill,1760,bfloat16/bfloat16:880; bfloat16/fp8:880,default:1760,src/aiconfigurator/systems/data/b300_sxm/trtllm/1.3.0rc10/context_mla_perf.txt
b300_sxm,B300 SXM,trtllm,1.3.0rc10,mla,decode,2896,bfloat16/bfloat16:1448; bfloat16/fp8:1448,default:2896,src/aiconfigurator/systems/data/b300_sxm/trtllm/1.3.0rc10/generation_mla_perf.txt
b300_sxm,B300 SXM,vllm,0.19.0,attention,prefill,21816,bfloat16/bfloat16:10908; bfloat16/fp8:10908,vllm_flashinfer:21816,src/aiconfigurator/systems/data/b300_sxm/vllm/0.19.0/context_attention_perf.txt
b300_sxm,B300 SXM,vllm,0.19.0,attention,decode,16908,bfloat16/bfloat16:8454; bfloat16/fp8:8454,vllm_flashinfer:16908,src/aiconfigurator/systems/data/b300_sxm/vllm/0.19.0/generation_attention_perf.txt
gb200,GB200,sglang,0.5.10,attention,prefill,16881,bfloat16/bfloat16:5627; bfloat16/fp8:5627; fp8/fp8:5627,trtllm_mha:16881,src/aiconfigurator/systems/data/gb200/sglang/0.5.10/context_attention_perf.txt
gb200,GB200,sglang,0.5.10,attention,decode,10186,bfloat16/bfloat16:5093; bfloat16/fp8:5093,trtllm_mha:10186,src/aiconfigurator/systems/data/gb200/sglang/0.5.10/generation_attention_perf.txt
gb200,GB200,sglang,0.5.10,mla,prefill,3080,bfloat16/bfloat16:1540; bfloat16/fp8:1540,trtllm_mla:3080,src/aiconfigurator/systems/data/gb200/sglang/0.5.10/context_mla_perf.txt
gb200,GB200,sglang,0.5.10,mla,decode,4648,bfloat16/bfloat16:2324; bfloat16/fp8:2324,trtllm_mla:4648,src/aiconfigurator/systems/data/gb200/sglang/0.5.10/generation_mla_perf.txt
gb200,GB200,trtllm,1.3.0rc10,attention,prefill,63120,bfloat16/bfloat16:21064; bfloat16/fp8:21064; fp8/fp8:20992,torch_flow:63120,src/aiconfigurator/systems/data/gb200/trtllm/1.3.0rc10/context_attention_perf.txt
gb200,GB200,trtllm,1.3.0rc10,attention,decode,40240,bfloat16/bfloat16:20120; bfloat16/fp8:20120,torch_flow:40240,src/aiconfigurator/systems/data/gb200/trtllm/1.3.0rc10/generation_attention_perf.txt
gb200,GB200,trtllm,1.3.0rc10,mla,prefill,1760,bfloat16/bfloat16:880; bfloat16/fp8:880,default:1760,src/aiconfigurator/systems/data/gb200/trtllm/1.3.0rc10/context_mla_perf.txt
gb200,GB200,trtllm,1.3.0rc10,mla,decode,3615,bfloat16/bfloat16:1808; bfloat16/fp8:1807,default:3615,src/aiconfigurator/systems/data/gb200/trtllm/1.3.0rc10/generation_mla_perf.txt
gb200,GB200,vllm,0.19.0,attention,prefill,21816,bfloat16/bfloat16:10908; bfloat16/fp8:10908,vllm_flashinfer:21816,src/aiconfigurator/systems/data/gb200/vllm/0.19.0/context_attention_perf.txt
gb200,GB200,vllm,0.19.0,attention,decode,16908,bfloat16/bfloat16:8454; bfloat16/fp8:8454,vllm_flashinfer:16908,src/aiconfigurator/systems/data/gb200/vllm/0.19.0/generation_attention_perf.txt
gb300,GB300,sglang,0.5.10,attention,prefill,16881,bfloat16/bfloat16:5627; bfloat16/fp8:5627; fp8/fp8:5627,trtllm_mha:16881,src/aiconfigurator/systems/data/gb300/sglang/0.5.10/context_attention_perf.txt
gb300,GB300,sglang,0.5.10,attention,decode,10186,bfloat16/bfloat16:5093; bfloat16/fp8:5093,trtllm_mha:10186,src/aiconfigurator/systems/data/gb300/sglang/0.5.10/generation_attention_perf.txt
gb300,GB300,sglang,0.5.10,mla,prefill,3080,bfloat16/bfloat16:1540; bfloat16/fp8:1540,trtllm_mla:3080,src/aiconfigurator/systems/data/gb300/sglang/0.5.10/context_mla_perf.txt
gb300,GB300,sglang,0.5.10,mla,decode,4648,bfloat16/bfloat16:2324; bfloat16/fp8:2324,trtllm_mla:4648,src/aiconfigurator/systems/data/gb300/sglang/0.5.10/generation_mla_perf.txt
gb300,GB300,trtllm,1.3.0rc10,attention,prefill,63121,bfloat16/bfloat16:21064; bfloat16/fp8:21064; fp8/fp8:20993,torch_flow:63121,src/aiconfigurator/systems/data/gb300/trtllm/1.3.0rc10/context_attention_perf.txt
gb300,GB300,trtllm,1.3.0rc10,attention,decode,40240,bfloat16/bfloat16:20120; bfloat16/fp8:20120,torch_flow:40240,src/aiconfigurator/systems/data/gb300/trtllm/1.3.0rc10/generation_attention_perf.txt
gb300,GB300,trtllm,1.3.0rc10,mla,prefill,1760,bfloat16/bfloat16:880; bfloat16/fp8:880,default:1760,src/aiconfigurator/systems/data/gb300/trtllm/1.3.0rc10/context_mla_perf.txt
gb300,GB300,trtllm,1.3.0rc10,mla,decode,2896,bfloat16/bfloat16:1448; bfloat16/fp8:1448,default:2896,src/aiconfigurator/systems/data/gb300/trtllm/1.3.0rc10/generation_mla_perf.txt
gb300,GB300,vllm,0.19.0,attention,prefill,21816,bfloat16/bfloat16:10908; bfloat16/fp8:10908,vllm_flashinfer:21816,src/aiconfigurator/systems/data/gb300/vllm/0.19.0/context_attention_perf.txt
gb300,GB300,vllm,0.19.0,attention,decode,16908,bfloat16/bfloat16:8454; bfloat16/fp8:8454,vllm_flashinfer:16908,src/aiconfigurator/systems/data/gb300/vllm/0.19.0/generation_attention_perf.txt
rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,attention,prefill,33522,bfloat16/bfloat16:11174; bfloat16/fp8:11174; fp8/fp8:11174,triton:33522,src/aiconfigurator/systems/data/rtx_pro_6000_server/sglang/0.5.10/context_attention_perf.txt
rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,attention,decode,19484,bfloat16/bfloat16:9742; bfloat16/fp8:9742,triton:19484,src/aiconfigurator/systems/data/rtx_pro_6000_server/sglang/0.5.10/generation_attention_perf.txt
rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,mla,prefill,1540,bfloat16/bfloat16:1540,triton:1540,src/aiconfigurator/systems/data/rtx_pro_6000_server/sglang/0.5.10/context_mla_perf.txt
rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,mla,decode,2324,bfloat16/bfloat16:2324,triton:2324,src/aiconfigurator/systems/data/rtx_pro_6000_server/sglang/0.5.10/generation_mla_perf.txt
rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,attention,prefill,63174,bfloat16/bfloat16:21064; bfloat16/fp8:21064; fp8/fp8:21046,torch_flow:63174,src/aiconfigurator/systems/data/rtx_pro_6000_server/trtllm/1.3.0rc10/context_attention_perf.txt
rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,attention,decode,40240,bfloat16/bfloat16:20120; bfloat16/fp8:20120,torch_flow:40240,src/aiconfigurator/systems/data/rtx_pro_6000_server/trtllm/1.3.0rc10/generation_attention_perf.txt
rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,mla,prefill,1760,bfloat16/bfloat16:880; bfloat16/fp8:880,default:1760,src/aiconfigurator/systems/data/rtx_pro_6000_server/trtllm/1.3.0rc10/context_mla_perf.txt
rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,mla,decode,2896,bfloat16/bfloat16:1448; bfloat16/fp8:1448,default:2896,src/aiconfigurator/systems/data/rtx_pro_6000_server/trtllm/1.3.0rc10/generation_mla_perf.txt
rtx_pro_6000_server,RTX PRO 6000,vllm,0.19.0,attention,prefill,21816,bfloat16/bfloat16:10908; bfloat16/fp8:10908,vllm_flashinfer:10908; vllm_flash_attn:10908,src/aiconfigurator/systems/data/rtx_pro_6000_server/vllm/0.19.0/context_attention_perf.txt
rtx_pro_6000_server,RTX PRO 6000,vllm,0.19.0,attention,decode,16908,bfloat16/bfloat16:8454; bfloat16/fp8:8454,vllm_flashinfer:8454; vllm_flash_attn:8454,src/aiconfigurator/systems/data/rtx_pro_6000_server/vllm/0.19.0/generation_attention_perf.txt
