case_id,model_key,system,mode,bottleneck,prefill_capacity_seq_s,decode_capacity_seq_s,capacity_ratio_prefill_decode,expected_request_rate,request_rate,request_rate_relative_error,ttft,tpot,tokens/s/user,tokens/s/gpu,(p)bs,(p)global_bs,(p)workers,(p)seq/s/worker,(p)parallel,(d)bs,(d)global_bs,(d)workers,(d)seq/s/worker,(d)parallel,num_total_gpus
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,0.3174,17.872400756143666,0.3174,0.317,0.00126023944549468,4569.196,22.683,44.086,5.078,1,16,1,6.303,tp2pp1dp16etp1ep32,2,8,1,0.345,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,0.34040000000000004,16.664806110458283,0.34040000000000004,0.34,0.0011750881316099043,4569.196,31.72,31.525,5.446,1,16,1,6.303,tp2pp1dp16etp1ep32,3,12,1,0.37,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,0.36524,15.531431387580769,0.36524,0.365,0.0006571021793889441,4569.196,39.43,25.361,5.844,1,16,1,6.303,tp2pp1dp16etp1ep32,2,16,1,0.397,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,1.3036400000000001,4.351431376760455,1.3036400000000001,1.304,0.0002761498573225092,4569.196,44.162,22.644,20.858,1,16,1,6.303,tp2pp1dp16etp1ep32,4,64,1,1.417,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,0.9733600000000001,5.8279567683077165,0.9733600000000001,0.973,0.00036985288074313505,4569.196,44.355,22.545,15.574,1,16,1,6.303,tp2pp1dp16etp1ep32,6,48,1,1.058,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,0.64216,8.83377974336614,0.64216,0.642,0.00024915908807764104,4569.196,44.807,22.318,10.275,1,16,1,6.303,tp2pp1dp16etp1ep32,1,32,1,0.698,tp1pp1dp32etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,0.56672,10.0097049689441,0.56672,0.567,0.0004940711462449657,4569.196,44.419,22.513,9.068,1,16,1,6.303,tp2pp1dp16etp1ep32,7,28,1,0.616,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,2.8777600000000003,1.9712206716334923,2.8777600000000003,2.878,8.339819859883934e-05,4569.196,49.999,20.0,46.044,1,16,1,6.303,tp2pp1dp16etp1ep32,5,160,1,3.128,tp1pp1dp32etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,2.3404800000000003,2.4237335931091053,2.3404800000000003,2.34,0.00020508613617739948,4569.196,49.176,20.335,37.448,1,16,1,6.303,tp2pp1dp16etp1ep32,8,128,1,2.544,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,1.46004,3.885304512205145,1.46004,1.46,2.7396509684693573e-05,4569.196,49.28,20.292,23.361,1,16,1,6.303,tp2pp1dp16etp1ep32,10,80,1,1.587,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,0.8022400000000001,7.071075987235739,0.8022400000000001,0.802,0.00029916234543281056,4569.196,49.299,20.284,12.836,1,16,1,6.303,tp2pp1dp16etp1ep32,11,44,1,0.872,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,4.27156,1.3280159941567016,4.27156,4.272,0.00010300686400289777,4569.196,53.893,18.555,68.345,1,16,1,6.303,tp2pp1dp16etp1ep32,8,256,1,4.643,tp1pp1dp32etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,3.18596,1.7805308290122912,3.18596,3.186,1.2555085437299262e-05,4569.196,54.19,18.454,50.975,1,16,1,6.303,tp2pp1dp16etp1ep32,12,192,1,3.463,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,1.8584,3.0524644855789926,1.8584,1.858,0.0002152389151958437,4569.196,54.205,18.448,29.734,1,16,1,6.303,tp2pp1dp16etp1ep32,14,112,1,2.02,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,0.99636,5.693424063591473,0.99636,0.996,0.00036131518728173246,4569.196,54.179,18.457,15.942,1,16,1,6.303,tp2pp1dp16etp1ep32,15,60,1,1.083,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,prefill,5.6727,5.84476,0.9705616654918251,5.6727,5.673,5.288486963882966e-05,4569.196,59.084,16.925,90.763,1,16,1,6.303,tp2pp1dp16etp1ep32,12,384,1,6.353,tp1pp1dp32etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,3.8888400000000005,1.458712623815842,3.8888400000000005,3.889,4.1143374373662024e-05,4569.196,59.204,16.891,62.221,1,16,1,6.303,tp2pp1dp16etp1ep32,16,256,1,4.227,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,2.19052,2.5896590763836898,2.19052,2.191,0.0002191260522615799,4569.196,59.13,16.912,35.048,1,16,1,6.303,tp2pp1dp16etp1ep32,18,144,1,2.381,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,1.1196400000000002,5.066539244757243,1.1196400000000002,1.12,0.00032153192097452387,4569.196,57.84,17.289,17.914,1,16,1,6.303,tp2pp1dp16etp1ep32,18,72,1,1.217,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,prefill,5.6727,7.16404,0.7918297496943065,5.6727,5.673,5.288486963882966e-05,4569.196,64.276,15.558,90.763,1,16,1,6.303,tp2pp1dp16etp1ep32,16,512,1,7.787,tp1pp1dp32etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,4.48132,1.2658547035248542,4.48132,4.481,7.140753170947846e-05,4569.196,64.218,15.572,71.701,1,16,1,6.303,tp2pp1dp16etp1ep32,20,320,1,4.871,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,2.47112,2.295598756839004,2.47112,2.471,4.856097639932418e-05,4569.196,64.055,15.612,39.538,1,16,1,6.303,tp2pp1dp16etp1ep32,22,176,1,2.686,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,1.2622400000000003,4.494153251362656,1.2622400000000003,1.262,0.00019013816706825958,4569.196,62.72,15.944,20.196,1,16,1,6.303,tp2pp1dp16etp1ep32,22,88,1,1.372,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,4.98824,1.1372147290427084,4.98824,4.988,4.811316215735328e-05,4569.196,69.231,14.444,79.812,1,16,1,6.303,tp2pp1dp16etp1ep32,24,384,1,5.422,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,2.71216,2.0915801427644385,2.71216,2.712,5.8993569700797865e-05,4569.196,68.98,14.497,43.395,1,16,1,6.303,tp2pp1dp16etp1ep32,26,208,1,2.948,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,1.38368,4.099719588344126,1.38368,1.384,0.00023126734505078916,4569.196,67.601,14.793,22.139,1,16,1,6.303,tp2pp1dp16etp1ep32,26,104,1,1.504,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,5.42616,1.045435446061303,5.42616,5.426,2.9486782549751574e-05,4569.196,74.245,13.469,86.819,1,16,1,6.303,tp2pp1dp16etp1ep32,28,448,1,5.898,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,2.92008,1.9426522561025725,2.92008,2.92,2.7396509684693573e-05,4569.196,73.905,13.531,46.721,1,16,1,6.303,tp2pp1dp16etp1ep32,30,240,1,3.174,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,1.5364,3.692202551418901,1.5364,1.536,0.0002603488674823978,4569.196,74.921,13.347,24.582,1,16,1,6.303,tp2pp1dp16etp1ep32,32,128,1,1.67,tp8pp1dp4etp1ep32,64
