case_id,model_key,system,mode,bottleneck,prefill_capacity_seq_s,decode_capacity_seq_s,capacity_ratio_prefill_decode,expected_request_rate,request_rate,request_rate_relative_error,ttft,tpot,tokens/s/user,tokens/s/gpu,tokens/s/gpu_cluster,(p)bs,(p)global_bs,(p)workers,(p)seq/s/worker,(p)parallel,(d)bs,(d)global_bs,(d)workers,(d)seq/s/worker,(d)parallel,num_total_gpus
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,decode,8.1927,3.0774,2.662214856697212,3.0774,3.077,0.00012997985312275165,197.739,7.892,126.705,98.477,98.477,1,1,1,9.103,tp8pp1dp1etp1ep1,9,9,3,1.115,tp8pp1dp1etp1ep1,32
llama31_70b__b300_sxm__empirical,llama31_70b,b300_sxm,EMPIRICAL,prefill,4.2534,4.328600000000001,0.982627177378367,4.2534,4.253,9.404241312831051e-05,380.849,39.892,25.068,1088.87,1088.87,1,1,1,4.726,tp2pp1dp1etp1ep1,192,192,1,4.705,tp2pp1dp1etp1ep1,4
llama31_70b__b300_sxm__empirical,llama31_70b,b300_sxm,EMPIRICAL,decode,4.2534,3.9891200000000007,1.0662502005454835,3.9891200000000007,3.989,3.0081822557553075e-05,380.849,34.266,29.183,1021.215,1021.215,1,1,1,4.726,tp2pp1dp1etp1ep1,152,152,1,4.336,tp2pp1dp1etp1ep1,4
llama31_70b__b300_sxm__empirical,llama31_70b,b300_sxm,EMPIRICAL,prefill,29.7738,32.63148,0.9124256699359024,29.7738,29.774,6.717315223435836e-06,380.849,29.765,33.596,952.762,952.762,1,1,7,4.726,tp2pp1dp1etp1ep1,120,120,9,3.941,tp2pp1dp1etp1ep1,32
llama31_70b__b300_sxm__empirical,llama31_70b,b300_sxm,EMPIRICAL,prefill,7.081200000000001,7.304800000000001,0.9693899901434673,7.081200000000001,7.081,2.8243800485852968e-05,228.767,17.728,56.407,906.394,906.394,1,1,1,7.868,tp4pp1dp1etp1ep1,144,144,1,7.94,tp4pp1dp1etp1ep1,8
llama31_70b__b300_sxm__empirical,llama31_70b,b300_sxm,EMPIRICAL,decode,7.081200000000001,5.99748,1.1806958922747555,5.99748,5.997,8.003361411800956e-05,228.767,13.794,72.493,767.677,767.677,1,1,1,7.868,tp4pp1dp1etp1ep1,92,92,1,6.519,tp4pp1dp1etp1ep1,8
llama31_70b__b300_sxm__empirical,llama31_70b,b300_sxm,EMPIRICAL,prefill,21.2436,21.712,0.9784266764922623,21.2436,21.244,1.882920032381836e-05,228.767,10.768,92.866,679.795,679.795,1,1,3,7.868,tp4pp1dp1etp1ep1,52,52,5,4.72,tp4pp1dp1etp1ep1,32
llama31_70b__b300_sxm__empirical,llama31_70b,b300_sxm,EMPIRICAL,prefill,10.6074,10.858760000000002,0.9768518689058417,10.6074,10.607,3.770952354024965e-05,152.726,7.951,125.778,678.874,678.874,1,1,1,11.786,tp8pp1dp1etp1ep1,96,96,1,11.803,tp8pp1dp1etp1ep1,16
llama31_70b__b300_sxm__empirical,llama31_70b,b300_sxm,EMPIRICAL,decode,10.6074,9.363760000000001,1.1328141686672875,9.363760000000001,9.364,2.5630729535976565e-05,152.726,6.915,144.618,599.281,599.281,1,1,1,11.786,tp8pp1dp1etp1ep1,72,72,1,10.178,tp8pp1dp1etp1ep1,16
llama31_70b__b300_sxm__empirical,llama31_70b,b300_sxm,EMPIRICAL,decode,10.6074,7.34252,1.4446538790496994,7.34252,7.343,6.537265135125159e-05,152.726,5.879,170.096,469.921,469.921,1,1,1,11.786,tp8pp1dp1etp1ep1,48,48,1,7.981,tp8pp1dp1etp1ep1,16
llama31_70b__b300_sxm__empirical,llama31_70b,b300_sxm,EMPIRICAL,decode,10.6074,9.48704,1.1180937362970957,9.48704,9.487,4.2162782069288255e-06,152.726,4.93,202.857,404.78,303.585,1,1,1,11.786,tp8pp1dp1etp1ep1,26,26,2,5.156,tp8pp1dp1etp1ep1,24
llama31_70b__b300_sxm__empirical,llama31_70b,b300_sxm,EMPIRICAL,decode,10.6074,2.71032,3.913707606481892,2.71032,2.71,0.00011806723929273147,152.726,3.98,251.247,86.73,86.73,1,1,1,11.786,tp8pp1dp1etp1ep1,4,4,3,0.982,tp8pp1dp1etp1ep1,32
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,decode,3.6954,3.44356,1.0731336175353412,3.44356,3.444,0.000127774744740842,438.419,64.769,15.44,881.551,881.551,1,1,1,4.106,tp2pp1dp1etp1ep1,248,248,1,3.743,tp2pp1dp1etp1ep1,4
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,decode,3.6954,3.35984,1.0998738035144529,3.35984,3.36,4.762131530064406e-05,438.419,59.965,16.676,860.119,860.119,1,1,1,4.106,tp2pp1dp1etp1ep1,224,224,1,3.652,tp2pp1dp1etp1ep1,4
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,prefill,25.8678,26.52084,0.9753763455456161,25.8678,25.868,7.73162000632191e-06,438.419,43.954,22.751,827.77,827.77,1,1,7,4.106,tp2pp1dp1etp1ep1,144,144,9,3.203,tp2pp1dp1etp1ep1,32
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,decode,25.8678,25.12152,1.0297068011808201,25.12152,25.122,1.9107124091201163e-05,438.419,39.951,25.031,803.889,803.889,1,1,7,4.106,tp2pp1dp1etp1ep1,124,124,9,3.034,tp2pp1dp1etp1ep1,32
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,decode,6.1659,6.01036,1.0258786495318084,6.01036,6.01,5.989657857442517e-05,262.741,29.927,33.414,769.326,769.326,1,1,1,6.851,tp4pp1dp1etp1ep1,200,200,1,6.533,tp4pp1dp1etp1ep1,8
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,decode,6.1659,5.497,1.1216845552119337,5.497,5.497,0.0,262.741,24.867,40.213,703.616,703.616,1,1,1,6.851,tp4pp1dp1etp1ep1,152,152,1,5.975,tp4pp1dp1etp1ep1,8
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,prefill,9.2628,9.600200000000001,0.9648548988562737,9.2628,9.263,2.159174331730512e-05,174.901,14.988,66.72,592.819,592.819,1,1,1,10.292,tp8pp1dp1etp1ep1,160,160,1,10.435,tp8pp1dp1etp1ep1,16
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,decode,9.2628,8.99668,1.029579800548647,8.99668,8.997,3.556867644512421e-05,174.901,13.595,73.558,575.788,575.788,1,1,1,10.292,tp8pp1dp1etp1ep1,136,136,1,9.779,tp8pp1dp1etp1ep1,16
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,decode,9.2628,8.64616,1.071319522192511,8.64616,8.646,1.850532490715784e-05,174.901,12.898,77.532,553.354,553.354,1,1,1,10.292,tp8pp1dp1etp1ep1,124,124,1,9.398,tp8pp1dp1etp1ep1,16
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,decode,9.2628,8.1144,1.1415261756876665,8.1144,8.114,4.9295080350866085e-05,174.901,11.969,83.549,519.322,519.322,1,1,1,10.292,tp8pp1dp1etp1ep1,108,108,1,8.82,tp8pp1dp1etp1ep1,16
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,decode,9.2628,7.32228,1.2650158147462267,7.32228,7.322,3.8239455470162025e-05,174.901,10.808,92.525,468.626,468.626,1,1,1,10.292,tp8pp1dp1etp1ep1,88,88,1,7.959,tp8pp1dp1etp1ep1,16
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,decode,9.2628,6.55408,1.4132876010057858,6.55408,6.554,1.2206137245751642e-05,174.901,9.879,101.225,419.461,419.461,1,1,1,10.292,tp8pp1dp1etp1ep1,72,72,1,7.124,tp8pp1dp1etp1ep1,16
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,prefill,9.2628,11.25344,0.8231083117695568,9.2628,9.263,2.159174331730512e-05,174.901,8.95,111.731,395.213,296.40975000000003,1,1,1,10.292,tp8pp1dp1etp1ep1,56,56,2,6.116,tp8pp1dp1etp1ep1,24
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,decode,9.2628,8.50908,1.088578318690152,8.50908,8.509,9.401721455260039e-06,174.901,6.976,143.347,272.291,272.291,1,1,1,10.292,tp8pp1dp1etp1ep1,22,22,3,3.083,tp8pp1dp1etp1ep1,32
llama31_70b__b300_sxm__analytical,llama31_70b,b300_sxm,ANALYTICAL,decode,9.2628,1.8078,5.1237968801858615,1.8078,1.808,0.00011063170704722755,174.901,5.97,167.509,57.85,57.85,1,1,1,10.292,tp8pp1dp1etp1ep1,4,4,3,0.655,tp8pp1dp1etp1ep1,32
llama31_70b__rtx_pro_6000_server__silicon,llama31_70b,rtx_pro_6000_server,SILICON,prefill,1.5903,1.61,0.9877639751552795,1.5903,1.59,0.00018864365214108468,3054.908,89.306,11.197,101.779,101.779,1,1,3,0.589,tp2pp1dp1etp1ep1,32,32,5,0.35,tp2pp1dp1etp1ep1,16
llama31_70b__rtx_pro_6000_server__silicon,llama31_70b,rtx_pro_6000_server,SILICON,decode,2.6505,2.5300000000000002,1.0476284584980236,2.5300000000000002,2.53,1.7552933195654646e-16,3054.908,78.197,12.788,80.96,80.96,1,1,5,0.589,tp2pp1dp1etp1ep1,20,20,11,0.25,tp2pp1dp1etp1ep1,32
llama31_70b__rtx_pro_6000_server__silicon,llama31_70b,rtx_pro_6000_server,SILICON,decode,2.6505,2.24664,1.1797617775878644,2.24664,2.247,0.00016023929067393702,3054.908,70.403,14.204,71.892,71.892,1,1,5,0.589,tp2pp1dp1etp1ep1,16,16,11,0.222,tp2pp1dp1etp1ep1,32
