model_key,system,mode,model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
llama31_70b,h100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,72,4.656,1,1,1,24,24,3,334.998,13.905,14559.813,4.656,0.146,4767.867,148.996,71.918,5.373,1.687,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.798,sglang,0.5.10,h100_sxm,0.0,148.996
llama31_70b,h100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,48,3.342,1,1,1,16,16,3,334.998,12.912,13543.974,3.342,0.104,3422.577,106.956,77.445,5.373,1.211,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.236,sglang,0.5.10,h100_sxm,0.0,106.956
llama31_70b,h100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,27,2.064,1,1,1,9,9,3,334.998,11.759,12364.455,2.064,0.065,2114.028,66.063,85.038,5.373,0.748,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.868,sglang,0.5.10,h100_sxm,0.0,66.063
llama31_70b,h100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,6,0.497,1,1,1,2,2,3,334.998,10.889,11474.445,0.497,0.016,508.723,15.898,91.837,5.373,0.18,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.501,sglang,0.5.10,h100_sxm,0.0,15.898
llama31_70b,h100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,108,2.901,1,1,1,108,108,1,504.409,33.486,34760.587,2.901,0.363,2970.378,371.297,29.863,3.569,3.153,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,79.725,sglang,0.5.10,h100_sxm,0.0,371.297
llama31_70b,h100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,84,2.576,1,1,1,84,84,1,504.409,29.33,30508.999,2.576,0.322,2637.824,329.728,34.094,3.569,2.8,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,70.35,sglang,0.5.10,h100_sxm,0.0,329.728
llama31_70b,h100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,92,4.919,1,1,1,92,92,1,329.281,16.768,17482.945,4.919,0.307,5037.466,314.842,59.636,5.466,5.363,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,39.079,sglang,0.5.10,h100_sxm,0.0,314.842
llama31_70b,h100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,84,4.725,1,1,1,84,84,1,329.281,15.987,16683.982,4.725,0.295,4838.523,302.408,62.551,5.466,5.136,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,37.517,sglang,0.5.10,h100_sxm,0.0,302.408
llama31_70b,h100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,72,4.371,1,1,1,72,72,1,329.281,14.815,15485.026,4.371,0.273,4475.822,279.739,67.499,5.466,4.751,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,35.173,sglang,0.5.10,h100_sxm,0.0,279.739
llama31_70b,h100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,60,3.955,1,1,1,60,60,1,329.281,13.643,14286.07,3.955,0.247,4050.002,253.125,73.298,5.466,4.299,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,32.829,sglang,0.5.10,h100_sxm,0.0,253.125
