tag,mapping,alignment_class,step,op_category,latency_ms,step_latency_ms,step_count,weighted_latency_ms,aic_mix_step_latency_ms,aic_genonly_step_latency_ms,aic_ttft,aic_tpot,aic_request_latency,decode_batch_size,decode_prefix_len,prefill_batch_size,prefill_fresh_len,prefill_prefix_len,first_formal_prefill_req_count,first_formal_decode_req_count,first_formal_sum_prefill_fresh_tokens,first_formal_sum_decode_kv_tokens,aic_isl,aic_prefix,pct_of_step,pct_of_weighted_total
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,attention_scaled,0.0,47.79316117499018,2.0,0.0,47.79316117499018,7.55847510900146,93.19666429123085,10.240787513400708,246.80847699224148,8,512,8,512,0,7,1,3584,512,512,0,0.0,0.0
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_mla_block,12.928796785340364,47.79316117499018,2.0,25.857593570680727,47.79316117499018,7.55847510900146,93.19666429123085,10.240787513400708,246.80847699224148,8,512,8,512,0,7,1,3584,512,512,0,0.2705156233127745,0.1283860724641314
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_moe,31.2588526815176,47.79316117499018,2.0,62.5177053630352,47.79316117499018,7.55847510900146,93.19666429123085,10.240787513400708,246.80847699224148,8,512,8,512,0,7,1,3584,512,512,0,0.6540444681419217,0.3104079515013643
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_other,1.7722627313781882,47.79316117499018,2.0,3.5445254627563765,47.79316117499018,7.55847510900146,93.19666429123085,10.240787513400708,246.80847699224148,8,512,8,512,0,7,1,3584,512,512,0,0.037081931552700904,0.017598996661019096
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_shared_ffn,1.833248976754032,47.79316117499018,2.0,3.666497953508064,47.79316117499018,7.55847510900146,93.19666429123085,10.240787513400708,246.80847699224148,8,512,8,512,0,7,1,3584,512,512,0,0.03835797699260283,0.018204604796728707
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,genonly_step,generation_mla_block,0.681078587833909,7.55847510900146,14.0,9.535100229674725,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.09010793553091231,0.05330695832276176
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,genonly_step,generation_moe,6.1946446955204015,7.55847510900146,14.0,86.72502573728562,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.8195627565331451,0.4848451742678361
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,genonly_step,generation_other,0.6827518256471492,7.55847510900146,14.0,9.558525559060088,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.09032930793594247,0.053437920035503524
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,attention_scaled,0.0,36.52646770265534,2.0,0.0,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.0,0.0
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_mla_block,6.7002321339735715,36.52646770265534,2.0,13.400464267947143,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.1834349871582707,0.07491667345184111
