framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,4,128,1,fp8,fp8,0,21.777323913574218
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,4,128,1,bfloat16,bfloat16,0,26.630322265625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,96,128,1,bfloat16,fp8,0,11.476299285888672
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,8,128,1,bfloat16,fp8,0,22.393174743652345
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,96,128,1,bfloat16,bfloat16,0,14.454426574707032
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,8,128,1,bfloat16,bfloat16,0,26.58411560058594
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,8,128,1,fp8,fp8,0,21.865803527832032
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,96,128,1,fp8,fp8,0,11.62597427368164
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,1,128,1,bfloat16,fp8,0,10.524686431884765
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,1,128,1,fp8,fp8,0,10.581655883789063
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,1,128,1,bfloat16,bfloat16,0,12.930990600585938
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,2,128,1,bfloat16,fp8,0,11.101910400390626
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,2,128,1,fp8,fp8,0,10.720642852783204
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,2,128,1,bfloat16,bfloat16,0,12.935478210449219
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,4,128,1,bfloat16,fp8,0,11.05771713256836
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,4,128,1,bfloat16,bfloat16,0,13.396514892578125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,96,128,1,bfloat16,fp8,0,5.632577514648437
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,4,128,1,fp8,fp8,0,10.877188873291015
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,96,128,1,bfloat16,bfloat16,0,7.143910217285156
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,8,128,1,bfloat16,fp8,0,10.675341033935547
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,8,128,1,bfloat16,bfloat16,0,13.433311462402344
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,96,8,128,1,fp8,fp8,0,11.333102416992187
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,96,128,1,fp8,fp8,0,5.882440185546875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,1,128,1,bfloat16,fp8,0,5.3725135803222654
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,1,128,1,bfloat16,bfloat16,0,6.6251373291015625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,1,128,1,fp8,fp8,0,5.5470222473144535
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,2,128,1,bfloat16,fp8,0,5.323926544189453
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,2,128,1,bfloat16,bfloat16,0,6.449046325683594
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,2,128,1,fp8,fp8,0,5.575518417358398
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,4,128,1,bfloat16,fp8,0,5.476440048217773
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,4,128,1,bfloat16,bfloat16,0,6.783042907714844
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,4,128,1,fp8,fp8,0,5.44127197265625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,8,128,1,bfloat16,fp8,0,5.459916687011718
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,8,128,1,bfloat16,bfloat16,0,6.745464324951172
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,12288,96,8,128,1,fp8,fp8,0,5.558811187744141
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,10240,96,1,128,1,bfloat16,fp8,0,30.819638061523438
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,10240,96,2,128,1,bfloat16,fp8,0,29.592218017578126
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,10240,96,1,128,1,fp8,fp8,0,31.079403686523438
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,10240,96,2,128,1,fp8,fp8,0,30.607510375976563
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,10240,96,4,128,1,bfloat16,fp8,0,30.926229858398436
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,10240,96,1,128,1,bfloat16,bfloat16,0,36.900021362304685
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,10240,96,2,128,1,bfloat16,bfloat16,0,36.609466552734375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,10240,96,4,128,1,bfloat16,bfloat16,0,36.42008666992187
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,96,128,1,bfloat16,fp8,0,16.220799255371094
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,96,128,1,bfloat16,bfloat16,0,19.88016357421875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,96,128,1,fp8,fp8,0,15.815078735351562
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,1,128,1,bfloat16,bfloat16,0,18.058995056152344
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,10240,96,4,128,1,fp8,fp8,0,31.0070068359375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,10240,96,8,128,1,fp8,fp8,0,30.827413940429686
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,10240,96,8,128,1,bfloat16,fp8,0,31.384735107421875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,10240,96,8,128,1,bfloat16,bfloat16,0,35.90263061523437
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,1,128,1,fp8,fp8,0,15.219989013671874
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,1,128,1,bfloat16,fp8,0,15.795700073242188
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,2,128,1,bfloat16,bfloat16,0,18.847372436523436
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,2,128,1,bfloat16,fp8,0,15.240126037597657
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,2,128,1,fp8,fp8,0,15.383755493164063
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,4,128,1,bfloat16,fp8,0,16.05292205810547
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,4,128,1,bfloat16,bfloat16,0,18.2467529296875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,96,128,1,bfloat16,bfloat16,0,10.53231201171875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,4,128,1,fp8,fp8,0,16.109414672851564
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,8,128,1,bfloat16,fp8,0,16.558302307128905
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,96,128,1,bfloat16,fp8,0,8.089292907714844
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,8,128,1,bfloat16,bfloat16,0,18.529261779785156
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,10240,96,8,128,1,fp8,fp8,0,14.944444274902343
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,96,128,1,fp8,fp8,0,8.190782165527343
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,1,128,1,bfloat16,bfloat16,0,9.024912261962891
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,1,128,1,bfloat16,fp8,0,7.407004547119141
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,1,128,1,fp8,fp8,0,7.421315002441406
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,2,128,1,bfloat16,fp8,0,7.722150421142578
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,2,128,1,bfloat16,bfloat16,0,9.390599822998047
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,2,128,1,fp8,fp8,0,7.619089508056641
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,4,128,1,bfloat16,fp8,0,7.719963073730469
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,4,128,1,bfloat16,bfloat16,0,9.378600311279296
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,4,128,1,fp8,fp8,0,7.448398590087891
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,96,128,1,bfloat16,fp8,0,3.994113540649414
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,8,128,1,bfloat16,fp8,0,7.446797180175781
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,8,128,1,bfloat16,bfloat16,0,9.1303955078125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,96,128,1,bfloat16,bfloat16,0,4.898852920532226
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,96,128,1,fp8,fp8,0,4.104390335083008
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,1,128,1,bfloat16,bfloat16,0,4.544508743286133
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,10240,96,8,128,1,fp8,fp8,0,7.763246154785156
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,1,128,1,bfloat16,fp8,0,3.6875728607177733
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,1,128,1,fp8,fp8,0,3.789748764038086
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,2,128,1,bfloat16,fp8,0,3.757215881347656
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,2,128,1,bfloat16,bfloat16,0,4.423097610473633
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,2,128,1,fp8,fp8,0,3.9052734375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,4,128,1,bfloat16,bfloat16,0,4.603219223022461
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,4,128,1,bfloat16,fp8,0,3.907668685913086
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,4,128,1,fp8,fp8,0,3.7783840179443358
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,8,128,1,bfloat16,bfloat16,0,4.568622589111328
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,8,128,1,bfloat16,fp8,0,3.8171665191650392
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,10240,96,8,128,1,fp8,fp8,0,3.7686832427978514
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,8192,96,2,128,1,bfloat16,fp8,0,40.2698486328125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,8192,96,1,128,1,fp8,fp8,0,40.826901245117185
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,8192,96,2,128,1,fp8,fp8,0,39.85117797851562
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,8192,96,4,128,1,bfloat16,fp8,0,40.12595825195312
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,8192,96,1,128,1,bfloat16,fp8,0,42.0523193359375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,8192,96,1,128,1,bfloat16,bfloat16,0,47.17835693359375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,8192,96,2,128,1,bfloat16,bfloat16,0,47.5775146484375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,8192,96,4,128,1,bfloat16,bfloat16,0,47.789666748046876
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,8192,96,96,128,1,bfloat16,fp8,0,20.952122497558594
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,8192,96,96,128,1,fp8,fp8,0,20.92937469482422
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,8192,96,96,128,1,bfloat16,bfloat16,0,25.26834716796875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,8192,96,1,128,1,bfloat16,bfloat16,0,23.691128540039063
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,8192,96,4,128,1,fp8,fp8,0,40.32087707519531
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,8192,96,8,128,1,bfloat16,fp8,0,40.00153503417969
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,8192,96,8,128,1,fp8,fp8,0,40.2287353515625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,8192,96,1,128,1,bfloat16,fp8,0,20.462924194335937
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,8192,96,8,128,1,bfloat16,bfloat16,0,48.54390869140625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,8192,96,1,128,1,fp8,fp8,0,20.58667449951172
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,8192,96,2,128,1,bfloat16,fp8,0,20.2171142578125
